sweep_param,param_value,metric,value,unit
target_speed_rpm,500,settling_steps,10,steps
target_speed_rpm,1000,settling_steps,13,steps
target_speed_rpm,1500,settling_steps,14,steps
target_speed_rpm,2000,settling_steps,16,steps
target_speed_rpm,2500,settling_steps,16,steps
target_speed_rpm,3000,settling_steps,17,steps
target_speed_rpm,3500,settling_steps,18,steps
target_speed_rpm,4000,settling_steps,18,steps
target_speed_rpm,4500,settling_steps,19,steps
target_speed_rpm,5000,settling_steps,19,steps
target_speed_rpm,5500,settling_steps,20,steps
target_speed_rpm,6000,settling_steps,20,steps
target_speed_rpm,500,peak_temperature,42.01248917592524,degC
target_speed_rpm,1000,peak_temperature,44.02497835185055,degC
target_speed_rpm,1500,peak_temperature,46.03746752777579,degC
target_speed_rpm,2000,peak_temperature,48.049956703701056,degC
target_speed_rpm,2500,peak_temperature,50.06244587962632,degC
target_speed_rpm,3000,peak_temperature,52.074935055551556,degC
target_speed_rpm,3500,peak_temperature,54.08742423147685,degC
target_speed_rpm,4000,peak_temperature,56.0999134074021,degC
target_speed_rpm,4500,peak_temperature,58.11240258332736,degC
target_speed_rpm,5000,peak_temperature,60.12489175925263,degC
target_speed_rpm,5500,peak_temperature,62.137380935177895,degC
target_speed_rpm,6000,peak_temperature,64.14987011110311,degC
watchdog_budget_steps,2,watchdog_trip_latency,2,steps
watchdog_budget_steps,5,watchdog_trip_latency,5,steps
watchdog_budget_steps,10,watchdog_trip_latency,10,steps
watchdog_budget_steps,20,watchdog_trip_latency,20,steps
watchdog_budget_steps,50,watchdog_trip_latency,50,steps
watchdog_budget_steps,100,watchdog_trip_latency,100,steps
watchdog_budget_steps,200,watchdog_trip_latency,200,steps
